trial,archive,freetime,movetime,consump
1,307230.15,878.6,2020.4,72883.5
2,321888.2,1033.7,2185.3,73361.75
3,307221.2,1032.25,2191.75,81883.2
4,309721.2,1034.45,2196.55,81515.15
5,301971.8,1065.5,2174.5,87253.25
6,318253.25,895.25,2093.75,65137
7,311315.95,909.95,2146.05,78061.85
8,323815.95,911.8,2135.2,70716.4
9,304299.5,923.05,2135.95,81522.2
10,312085.2,933.7,2186.3,78978.05
11,314094.55,1013.9,2156.1,77181.75
12,308952.4,912.55,2173.45,81310.15
13,322480.25,963.1,2143.9,72113.65
14,303789.65,968.2,2160.8,83337.8
15,319435.25,903,2128,75587.35
16,318437.15,853.55,2163.45,73273
17,319941.4,879.9,2062.1,64539.75
18,310658.95,977.65,2173.35,79372.4
19,317014.05,927.95,2139.05,75669.05
20,317373.15,855.55,2150.45,75337.2
21,316273.65,874.6,2133.4,75897.95
22,288478.05,901.8,2067.2,80468.5
23,313535.7,1013.8,2144.2,72989.1
24,291828,860.05,2134.95,87741.05
25,312687.35,921.75,2157.25,75058.4
26,297366.1,1000.7,2141.3,85389.8
27,299746.95,878.4,2072.6,77761.75
28,321210.6,943.1,2160.9,73652.2
29,294551.75,921.5,2169.5,91726.4
30,298334.75,961.7,2178.3,89956.05
