trial,archive0,archive1,archive2,archive3,archive4,archive5,archive6,archive7,archive8,archive9,archive10,archive11,archive12,archive13,archive14,archive15,archive16,archive17,archive18,archive19
1 ,243712 ,292160 ,203099 ,315336 ,299901 ,363968 ,288648 ,317680 ,280660 ,345114 ,271187 ,320100 ,272137 ,371928 ,277200 ,250000 ,257982 ,242003 ,337180 ,261800 
2 ,319872 ,305440 ,238940 ,255272 ,357025 ,397056 ,400900 ,317680 ,322759 ,313740 ,314006 ,305550 ,372398 ,247952 ,277200 ,237500 ,285138 ,318425 ,322520 ,314160 
3 ,335104 ,239040 ,274781 ,330352 ,342744 ,330880 ,384864 ,274360 ,350825 ,345114 ,328279 ,320100 ,329429 ,340934 ,343200 ,275000 ,190092 ,292951 ,322520 ,248710 
4 ,335104 ,358560 ,262834 ,285304 ,257058 ,363968 ,304684 ,361000 ,308726 ,298053 ,285460 ,261900 ,300783 ,387425 ,316800 ,212500 ,312294 ,254740 ,307860 ,261800 
5 ,350336 ,292160 ,262834 ,315336 ,271339 ,297792 ,368828 ,274360 ,252594 ,345114 ,328279 ,349200 ,315106 ,247952 ,316800 ,175000 ,285138 ,267477 ,322520 ,261800 
6 ,350336 ,292160 ,262834 ,390416 ,342744 ,363968 ,384864 ,346560 ,252594 ,345114 ,356825 ,334650 ,372398 ,309940 ,303600 ,300000 ,285138 ,292951 ,293200 ,274890 
7 ,365568 ,239040 ,298675 ,345368 ,271339 ,314336 ,272612 ,346560 ,336792 ,329427 ,299733 ,349200 ,315106 ,356431 ,303600 ,250000 ,271560 ,292951 ,395820 ,274890 
8 ,335104 ,292160 ,286728 ,330352 ,299901 ,397056 ,368828 ,346560 ,294693 ,376488 ,199822 ,320100 ,300783 ,402922 ,290400 ,262500 ,285138 ,292951 ,322520 ,287980 
9 ,304640 ,332000 ,286728 ,360384 ,314182 ,281248 ,416936 ,274360 ,280660 ,313740 ,271187 ,363750 ,343752 ,371928 ,290400 ,262500 ,312294 ,305688 ,307860 ,301070 
10 ,304640 ,252320 ,274781 ,300320 ,314182 ,297792 ,288648 ,274360 ,350825 ,392175 ,285460 ,291000 ,315106 ,309940 ,330000 ,275000 ,325872 ,305688 ,249220 ,248710 
